"drives.1" "drives.2" "drives.3" "drives.4" "drives.5" "drives.6" "drives.7" "drives.8" "drives.9" "drives.10" "drives.11" "drives.12" "drives.13" "drives.14" "drives.15" "drives.16" "drives.17" "drives.18" "drives.19" "drives.20" "drives.21" "drives.22" "drives.23" "drives.24" "drives.25" "drives.26" "drives.27" "drives.28" "drives.29" "drives.30" "drives.31" "drives.32" "drives.33" "drives.34" "drives.35" "drives.36" "drives.37" "drives.38" "drives.39" "drives.40" "drives.41" "drives.42" "drives.43" "drives.44" "drives.45" "drives.46" "drives.47" "drives.48" "drives.49" "drives.50" "drives.51" "drives.52" "drives.53" "drives.54" "drives.55" "drives.56" "drives.57" "drives.58" "drives.59" "drives.60" "drives.61" "state"
116.02 116.4 125.4 175.44 141.59 104.81 130.58 109.61 119.56 130.71 163.24 147.08 115.76 117.5 119.38 120.33 135.7 175.22 166.33 134.36 123.05 125.49 112.48 132.42 171.72 200.93 134.43 146.15 128.4 129.94 142.67 188.54 206.07 135.89 134.45 128.12 123.38 118.71 146 127.11 82.8 90.68 93.87 96.4 93.76 105.61 93.44 70.11 92.45 82.84 92.75 89.49 104.6 80.98 60.13 82.02 80.98 82.8 100.11 105.37 96.98 "Alabama"
118.12 116.45 130.33 172.65 178.01 119.74 129.94 126.35 125.45 135.9 189.3 165.4 126.46 132.27 122.82 131.2 134.88 167.03 175.72 128.02 122.34 123.18 115.85 137.2 183.36 209.97 169.31 173.32 170.8 170.19 184.07 216.92 242.99 191.36 180.43 162.35 153.68 145.43 133.04 89.71 63.27 79.01 76.55 78.91 80.4 84.31 72.13 56.84 72.38 70.74 72.82 72.94 76.82 58.51 46.39 66.55 67.64 71.37 74.55 79.26 67.48 "Alabama"
130.32 130.56 139.43 216.86 175.77 136.58 150.67 121.77 120.51 127.08 167.06 167.62 119.56 114.89 129.61 139.83 140.22 180.76 170.63 151.31 135 125.1 116.55 149.88 209.9 249.01 204.28 142.76 142.68 134.44 176.48 228.35 237.29 182.98 163.74 143.55 152.18 153.84 168.88 151.39 105.62 106.57 88.68 95.25 103.09 118.92 121.46 102.14 98.81 98.73 98.65 98.81 95.41 87.89 62.71 79.02 93.59 85.04 94.93 106.97 87.81 "Alabama"
127.18 121.18 129.91 172.64 154.09 117.64 130.55 113 127.82 123.73 166.91 156.18 110.27 123.18 125.18 130.55 142.91 178.73 154 139.09 135.27 121 117.73 126.73 171.18 169.82 118.27 154.73 133.27 129.82 143.55 158.36 159.36 115.36 119.18 115.45 105.45 111.64 122.55 113.18 80.82 100.91 96.64 105 103.55 120.64 110.82 73.82 89 81.64 86.55 99.45 109.55 85 62 88.09 82.91 92.27 107.09 105 89.64 "Alabama"
106.88 102.23 118.72 140.49 148.91 103.36 117.81 106.02 108.85 125.17 144.38 141 94.25 104.96 117.98 109.25 115.75 139.01 145.41 104.63 102.88 105.18 99.98 110.6 152.98 163.03 115.3 117.02 108.99 102.52 114.41 140.11 152.98 94.75 99.09 90.6 92.11 92.45 98.47 90.77 66.51 71.4 79.96 87.41 90.6 91.03 87.84 65.21 77.89 75.62 80.77 88.49 96.96 75.76 56.63 78.71 79.31 74.44 94.15 100.34 86.6 "Alabama"
123.4 130.45 184.02 251.53 163.47 205.16 193.38 140.94 145.35 202.85 281.28 221.73 251.64 172.03 150.73 167.51 177.19 257.24 225.82 218.93 154.12 124.74 134.8 170.79 278.48 311.83 264.28 186.87 155.84 186.23 247.44 348.57 495.91 355.3 248.47 188.49 194.94 201.4 253.2 221.09 131.04 117.43 104.46 105.22 96.56 111.3 102.58 91.98 89.03 80.1 93.33 91.93 92.85 81.55 65.57 75.47 64.5 72.3 83.32 97.47 72.24 "Alabama"
99.22 95.17 124.54 166.17 132.78 89.08 105.55 116.72 108.7 101.8 129.84 124.97 85.83 96.09 106.15 108.39 118.74 138.43 136.08 96.79 99.9 107.18 106.32 111.2 145.95 152.25 104 109.76 106.21 112.78 115.64 122.56 122.9 77.92 84.43 82.73 84.55 86.42 85.82 80.14 54.86 62.39 66.95 77.35 78.17 83.98 74.16 55.47 70.69 65.45 71.69 73.82 79.92 61.84 43.1 63.59 65.5 66.14 72.7 81.29 71.3 "Alabama"
111.63 118.91 139.5 193.56 162.7 120.17 134.52 115.4 127.13 129.23 174.59 160.5 141.75 120.69 131.27 139.13 145.94 180.93 185.59 145.73 124.1 114.14 109.74 135.46 182.66 190.26 146.36 138.66 136.77 135.46 141.96 179.99 175.8 135.67 126.09 110.53 137.82 118.86 126.14 124.46 84.86 88 104.71 104.5 95.86 113.04 109.74 79.94 84.28 83.03 89.21 91.83 101.89 80.98 65.64 82.98 83.81 90.36 94.19 99.27 94.03 "Alabama"
112.85 104.36 136.27 173.22 188.83 121.73 127.93 124.33 120.96 116.68 166.18 195.94 128.92 118.67 112.78 138.94 134.05 185.16 202.6 132.59 129.46 120.89 110.86 131.06 183.17 211.17 132.06 134.97 123.41 125.02 128.31 147.21 191.28 102.37 111.55 107.12 120.43 131.06 128.23 155.16 102.6 86.92 98.24 120.89 126.24 169.01 191.51 125.25 122.8 96.02 116.45 110.56 150.27 126.86 107.8 92.35 96.17 96.71 118.29 140.86 163.81 "Alabama"
107.66 109.32 131.6 171.96 149.29 122.81 145.04 110.2 117.33 124.73 176.09 155.73 122.62 115.08 114.17 121.66 134.33 183.39 183.67 149.87 144.56 111.74 115.75 137.67 186.65 204.97 212.51 144.25 132.24 133.47 159.4 206.19 265.14 179.95 141.87 125.93 168.5 138.75 202.06 151.76 87.25 84.35 86.43 95.85 93.88 104.47 94.14 76.47 81.63 79.88 87.35 90.52 96.09 82.5 60.19 81.46 78.82 78.25 86.48 92.2 84.68 "Alabama"
